20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
